"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","race","democrat","republican","states","forborn","citizen","respid","discrimination","micro_aggression"
"5735",1,0.475609756097561,0.8,1,0.333333333333333,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0.5,"AAPI",0,0,"MD",1,1,1300000363,0.166666666666667,0.444444444444444
"5736",1,0.536585365853659,0.8,1,0.166666666666667,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,"AAPI",0,0,"TX",1,1,1300000013,0.5,0.222222222222222
"5737",1,0.390243902439024,0.6,1,0.166666666666667,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,"AAPI",1,0,"CA",1,0,1300000137,0,0.222222222222222
"5738",1,0.121951219512195,1,0,0.833333333333333,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0.75,0.75,1,"AAPI",1,0,"NJ",1,1,1350000270,0.166666666666667,0.333333333333333
"5739",1,0.0609756097560976,0.6,1,0.666666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,1,1,1,1,0.75,0.75,1,1,0.5,1,"AAPI",1,0,"MD",0,1,1200000120,0,0.111111111111111
"5740",0,0.134146341463415,0.8,1,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,"AAPI",0,1,"CA",1,1,1300000263,0,0
"5741",1,0.463414634146341,0.2,1,0.166666666666667,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0,0,1,0.5,1,1,0,0.5,"AAPI",1,0,"CA",1,1,1300000308,0,0.222222222222222
"5742",1,0.0487804878048781,0.6,0,0.333333333333333,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0.25,1,"AAPI",0,0,"NJ",1,1,450000223,0,0.333333333333333
"5743",1,0.585365853658537,0.8,1,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.333333333333333,0,1,1,1,1,1,1,0.75,0.5,0.25,1,"AAPI",0,0,"VA",1,0,1300000338,0,0.222222222222222
"5744",1,0.51219512195122,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,"AAPI",0,0,"IL",1,1,1300000002,0,0.222222222222222
"5745",0,0.670731707317073,1,1,0.666666666666667,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,"AAPI",0,0,"IL",1,1,1250000258,0,0.333333333333333
"5746",0,0.451219512195122,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0.75,0.75,1,1,0.75,0.75,"AAPI",1,0,"VA",1,1,1300000101,0,0.222222222222222
"5747",0,0.0365853658536585,0.8,1,0.333333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.5,0.5,0,0.25,0.25,0.5,"AAPI",0,0,"NY",1,1,1200000015,0,0.222222222222222
"5748",1,0.134146341463415,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0.75,0.75,0.75,0.75,0.25,0.75,"AAPI",0,0,"NY",1,1,1350000107,1,0
"5749",1,0.353658536585366,0.4,0,0.166666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,0,0,1,1,0.75,0.75,0.75,1,0.75,1,"AAPI",1,0,"IL",0,1,1350000085,0,0.222222222222222
"5750",1,0,0.6,1,0.333333333333333,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0.75,1,0,1,"AAPI",1,0,"NY",0,1,1250000151,0,0.444444444444444
"5751",0,0.414634146341463,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,1,1,1,1,1,1,1,0.5,1,"AAPI",1,0,"VA",1,1,1300000073,0,0.333333333333333
